arrondissement,nb_transactions,prix_m2_mean,prix_m2_median,prix_m2_std,prix_m2_q3,valeur_median,surface_median,spec_ratio,P22_LOG,P22_LOGVAC,P22_MAISON,P22_APPART,P22_RPMAISON,P22_RPAPPART,P16_LOGVAC,P11_LOGVAC,P06_LOGVAC,D99_LOGVAC,D90_LOGVAC,D82_LOGVAC,D75_LOGVAC,D68_LOGVAC,P22_POP,C22_MEN,C22_MENPSEUL,taux_vacance,part_menages_seuls,ratio_prix_vacance,spec_norm,vac_norm,prix_norm,indice_speculation
1,369,15586.35,12857.14,18184.33,15576.47,527600.0,44.0,1.2115034914452203,13871.7079749008,1547.3502608321,54.8896159062023,13669.7851699028,38.953089045537,9163.43452922723,1498.47476574555,1180.99730422215,1754.32427817035,2315.0,2192.0,1643.0,896.0,416.0,15475.0,9461.01495373482,5691.99800155724,11.154720555189352,60.162657277169544,1397.2873567638578,0.6753608080454957,0.43965232038556007,0.21717507791718105,0.44406273544941227
2,461,15108.77,11895.19,13552.09,14664.37,480000.0,37.0,1.2327982991444442,17332.2480339953,2251.60213745909,77.552766967404,17082.0692416259,29.2435085944372,11904.9608851453,2182.7550582426,1985.22849159009,2008.57874116947,2859.0,2881.0,1204.0,1126.0,465.0,20433.0,12204.5486398344,7186.00026272081,12.990825731565922,58.87968883393556,1163.033844976287,1.184034432000834,1.1757280783799906,0.05774849068058375,0.8058370003538028
3,720,17556.41,12495.5,25791.8,14752.35,533990.0,42.0,1.1806130206874474,26406.6506983592,2672.51779803445,131.273208066201,25953.8237218217,94.5831080291834,19135.0200278188,2394.06186583528,2016.44197139116,3054.716614551,4493.0,3409.0,2871.0,2492.0,991.0,32772.0,19531.9931993033,11493.0825093965,10.12062388586262,58.842343390773124,1734.7161793577113,-0.06252647076826957,0.025093557898808592,0.8748239376921525,0.27913034160756384
4,538,17662.24,13434.85,20339.39,16168.35,554000.0,40.0,1.2034633806853072,23030.6770777822,2680.37336127941,77.0916191851318,22543.182080298,77.0916191851318,15691.8429952661,1932.46576651058,2178.12432542754,2515.18558861644,2548.0,3033.0,2080.0,2487.0,914.0,28039.0,16103.1454622542,8998.83786087565,11.638274255797624,55.88248508323383,1517.5995694723838,0.4833049634934761,0.6335040459215961,0.910152292579814,0.6756537673316286
5,987,21656.06,12716.05,46729.8,15353.17,491000.0,38.0,1.2073851549813033,39882.2488987929,2619.63231409804,237.123774076656,38932.7000009525,202.414785542543,30554.9291417227,2359.04292500665,2134.04247812212,3476.96911993603,4202.0,3562.0,3321.0,2708.0,1276.0,55925.0,31563.992378299,18619.0843017438,6.568416742861577,58.98836902059597,3296.9984773781857,0.5769852245062072,-1.398949900492636,2.243376239640552,0.4738038545513743
6,809,19210.99,15384.62,22669.35,19095.74,725000.0,48.0,1.2412227276331818,31643.6771200333,2211.77955661532,156.868460461194,30840.3882085079,131.939597323976,21921.4245525786,1936.92728600928,2456.8771508268,3447.03227853113,4350.0,5867.0,1937.0,2267.0,770.0,40432.0,22432.8754233161,12599.2416156949,6.989641400477646,56.16418483115901,2748.494364630379,1.3852705563014507,-1.2300852498561392,1.4271587145042666,0.5274480069831927
7,964,17732.86,14759.62,17368.25,18968.66,830000.0,55.0,1.2851726534964991,39310.8983574568,3465.39905330582,202.261667761939,38286.4171627492,133.716169755852,25404.7303022128,2979.28720639899,1766.89634374104,3602.58793215591,3669.0,3653.0,2249.0,2272.0,1155.0,48196.0,26172.0250835452,14065.4900234176,8.815364690459882,53.742459662629685,2011.58552398754,2.4351118310961932,-0.4981714837755936,0.9337267839543446,0.9568890437583147
8,600,19172.51,12879.2,36710.39,15478.94,821400.0,63.5,1.2018557053233119,27397.8648720055,3745.27243601471,82.7957469036309,26786.906205682,70.083669187593,16996.6742117563,3072.05371057737,2925.01769068929,3083.30532232721,1835.0,2014.0,1669.0,1648.0,616.0,35418.0,17574.2521829313,8354.71447774784,13.669942725506113,47.53951628088174,1402.5303825323936,0.44490207842963536,1.4479791250590854,1.414313253896903,1.1023981524618744
9,1108,12328.36,11427.75,7636.47,13080.42,516950.0,46.0,1.144619019492026,40931.5838742882,3257.52421206087,132.007140832649,39973.5994744322,117.061056419734,31014.6199485488,3899.9228224402,3536.04863116661,4669.38842626938,5028.0,3721.0,3293.0,2365.0,1281.0,58419.0,31920.286691294,16626.2341390877,7.958461177719374,52.08673186391641,1549.0884135383685,-0.9223228721884662,-0.841695324775429,-0.8704128172018811,-0.8781436713885921
10,1680,12411.36,10000.0,19841.23,11600.0,382110.0,39.0,1.16,59961.4365141376,9793.40017830811,260.880448799034,58324.0583854319,240.193566945184,42904.3833441912,7227.7280923508,5981.96600768984,6403.87426184053,7426.0,5639.0,5390.0,3915.0,1644.0,81926.0,44281.1109246891,23688.1653319549,16.332831145563098,53.49496622214931,759.9025477815959,-0.5549141026195986,2.515503816708906,-0.842705612669368,0.3726280338066464
